Site ID,Planned start date,Planned end date,State,Address 1,Address 2,City,State / Province,Zip / Postal Code,Country
"GRG 353 - STATEN ISLAND, NY",2/18/2025 13:00,2/18/2025 13:00,Closed Complete,2655 RICHMOND AVE,,STATEN ISLAND,NY,10314,US
"GRG 362 - YONKERS, NY",2/21/2025 10:00,2/21/2025 10:00,Closed Complete,8000 MALL WALK,,YONKERS,NY,10704,US
GRG 491 - WESTCHESTER,3/3/2025 10:00,3/3/2025 10:00,Closed Complete,125 WESTCHESTER AVE,,WHITE PLAINS,NY,10601,US
GRG 168 - CHINOOK CENTRE,3/13/2025 20:00,3/13/2025 20:00,Closed Complete,6455 MACLEOD TRAIL S,,CALGARY,AB,T2H 0K9,CA
GRG 101 - CENTRE EATON MONTREAL,3/14/2025 8:00,3/14/2025 8:00,Closed Complete,705 RUE SAINTE-CATHERINE OUEST,,MONTREAL,QC,H3B 4G5,CA
GRG 345 - MALL OF AMERICA - GARAGE,3/14/2025 8:00,3/14/2025 8:00,Closed Complete,140 NORTH GARDEN,,BLOOMINGTON,MN,55425,US
GRG 443 - WESTFARM MALL,3/18/2025 8:00,3/18/2025 8:00,Closed Complete,1500 NEW BRITAIN AVE,,WEST HARTFORD,CT,6110,US
DYN 299 - PACIFIC CENTRE,3/19/2025 8:00,3/19/2025 8:00,Closed Complete,701 W GEORGIA ST,UNIT #0003,VANCOUVER,BC,V7Y 1G5,CA
GRG 354 - WOODFIELD MALL,3/21/2025 8:00,3/21/2025 8:00,Closed Complete,5 WOODFIELD MALL,,SCHAUMBURG,IL,60173,US
GRG 479 - ST.JOHN'S TOWN CENTER,3/21/2025 8:00,3/21/2025 8:00,Closed Complete,4663 RIVER CITY DR,L13,JACKSONVILLE,FL,32246,US
GRG 37 - CARREFOUR LAVAL,3/24/2025 8:00,3/24/2025 8:00,Closed Complete,3003 BOUL LE CARREFOUR,,LAVAL,QC,H7T 1C7,CA
GRG 442 - AMERICAN DREAM,3/24/2025 9:12,3/24/2025 9:12,Closed Complete,1 AMERICAN DREAM WAY,,EAST RUTHERFORD,NJ,7073,US
GRG 389 - DANBURY FAIR MALL,3/24/2025 13:30,3/24/2025 13:30,Closed Complete,7 BACKUS AVE,,DANBURY,CT,6810,US
GRG 387 - BRIDGEWATER COMMON,3/24/2025 15:15,3/24/2025 15:15,Closed Complete,400 COMMONS WAY,,BRIDGEWATER,NJ,8807,US
"GRG 369 - KING OF PRUSSIA, PA",3/27/2025 10:00,3/27/2025 10:00,Closed Complete,160 N GULPH RD,,KING OF PRUSSIA,PA,19406,US
GRG 351 - PROVIDENCE PLACE,3/28/2025 11:54,3/28/2025 11:54,Closed Complete,140 PROVIDENCE PL,,PROVIDENCE,RI,2903,US
GRG 346 - CHERRY HILL MALL,3/31/2025 9:17,3/31/2025 9:17,Closed Complete,2000 ROUTE 38,SUITE 1255,CHERRY HILL,NJ,8002,US
GRG 360 - THE FLORIDA MALL,3/31/2025 9:31,3/31/2025 9:31,Work in Progress,8001 S ORANGE BLOSSOM TRAIL,UNIT 466B,ORLANDO,FL,32809,US
GRG 452 - EASTON TOWN CENTER,3/31/2025 9:32,3/31/2025 9:32,Work in Progress,160 EASTON TOWN CTR,UNIT A-114,COLUMBUS,OH,43219,US
GRG 476 - BOCA TOWN CENTER,4/2/2025 10:00,4/2/2025 10:00,Open,6000 GLADES RD,STE 1131A,BOCA RATON,FL,33431,US
GRG 492 - STREETS AT SOUTHPOINT,4/7/2025 11:00,4/7/2025 11:00,Open,6910 FAYETTEVILLE RD,,DURHAM,NC,27713,US
GRG 466 - THE MALL AT GREEN HILLS,4/15/2025 11:00,4/15/2025 11:00,Open,2126 ABBOT MARTIN RD,UNIT E111,NASHVILLE,TN,37215,US
GRG 427 - JORDAN CREEK TOWN CENTER,4/21/2025 11:00,4/21/2025 11:00,Open,101 JORDAN CREEK PKWY W,,WEST DES MOINES,IA,50266,US
GRG 406 - MAYFAIR MALL,4/22/2025 11:00,4/22/2025 11:00,Open,2500 N MAYFAIR RD,,WAUWATOSA,WI,53226,US
GRG 485 - WASHINGTON SQUARE,4/28/2025 11:00,4/28/2025 11:00,Open,9585 SW WASHINGTON SQUARE RD,UNIT B07,PORTLAND,OR,98223,US
GRG 399 - ALDERWOOD MALL,4/29/2025 11:00,4/29/2025 11:00,Open,3000 184TH ST SW,,LYNWOOD,WA,98037,US
GRG 447 - DALLAS GALLERIA,5/5/2025 11:00,5/5/2025 11:00,Open,13350 DALLAS PKWY,UNIT#436,DALLAS,TX,75240,US
